candidate,T,X,folds,precision_median,recall_median,f1_median,accuracy_median,balanced_accuracy_median
T21_X8,21,0.08,40,0.7376984126984127,0.7395149247896926,0.722842907842908,0.8412698412698413,0.7395149247896926
T14_X8,14,0.08,40,0.7159126984126984,0.7420472001117162,0.7193705417389629,0.8095238095238095,0.7420472001117162
T14_X6,14,0.06,40,0.7051587301587302,0.7112755847953216,0.7024489043354458,0.746031746031746,0.7112755847953216
T21_X10,21,0.1,40,0.727323373793962,0.7404402283156977,0.7019473129218519,0.8095238095238095,0.7404402283156977
T14_X10,14,0.1,40,0.6588212334113973,0.6689849312800132,0.6385803608288292,0.8571428571428571,0.6689849312800132
T10_X6,10,0.06,40,0.6515572390572391,0.6259920634920635,0.6192141192141192,0.7142857142857143,0.6259920634920635
T21_X6,21,0.06,40,0.6461328976034858,0.6197629354772212,0.6139687071203028,0.7936507936507936,0.6197629354772212
T21_X12,21,0.12,40,0.6479860578697787,0.6875116713352007,0.6098403641190806,0.8095238095238095,0.6875116713352007
T10_X10,10,0.1,40,0.6000478927203066,0.6296296296296297,0.588495064158781,0.8888888888888888,0.6296296296296297
T14_X12,14,0.12,40,0.6021669864527007,0.6141503267973856,0.5851557272848923,0.8888888888888888,0.6141503267973856
T10_X8,10,0.08,40,0.6385975135975135,0.6233974358974359,0.5782496562249724,0.7936507936507936,0.6233974358974359
T21_X15,21,0.15,40,0.5812947151595201,0.5726430976430976,0.55756291730868,0.8968253968253967,0.5726430976430976
T10_X12,10,0.12,40,0.5235566448801743,0.5844139333841851,0.5561846689895471,0.9365079365079365,0.5844139333841851
T7_X6,7,0.06,41,0.6590909090909091,0.5496031746031745,0.5467059980334317,0.7777777777777778,0.5496031746031745
T7_X8,7,0.08,41,0.5777777777777778,0.5119047619047619,0.5237122759246654,0.8412698412698413,0.5119047619047619
T14_X15,14,0.15,40,0.4611111111111111,0.4362777053455019,0.43041431261770247,0.9365079365079365,0.4362777053455019
T10_X15,10,0.15,40,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9841269841269841,0.3333333333333333
T7_X15,7,0.15,41,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
T7_X10,7,0.1,41,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9047619047619048,0.3333333333333333
T7_X12,7,0.12,41,0.3333333333333333,0.3333333333333333,0.33066666666666666,0.9682539682539683,0.3333333333333333
